edge degrees:
id	degree	max	normal
583	7	14	1
584	9	19	0.95
585	7	390	0.04
586	7	125	0.11
587	6	148	0.08
588	6	16	0.75
589	10	20	1
590	10	20	1
591	9	19	0.95
592	7	14	1
593	8	16	1
594	7	172	0.08
595	7	15	0.93
596	8	16	1
597	11	26	0.85
598	5	11	0.91
599	15	618	0.05
600	3	9	0.67
601	11	61	0.36
602	6	12	1
603	5	55	0.18
604	67	183	0.73
605	8	17	0.94
606	8	17	0.94
607	67	183	0.73
608	8	17	0.94
609	8	17	0.94
610	9	18	1
611	9	18	1
612	9	18	1
613	9	18	1
614	8	391	0.04
615	7	16	0.88
616	8	17	0.94
617	0	8	0
618	2	4	1
619	6	13	0.92
620	2	385	0.01
621	2	9	0.44
622	7	14	1
623	5	13	0.77
624	7	20	0.7
625	2	15	0.27
626	9	18	1
627	6	12	1
628	9	18	1
629	6	12	1
630	9	612	0.03
631	5	11	0.91
632	6	12	1
633	26	118	0.44
634	58	441	0.26
635	2	4	1
636	2	4	1
637	2	4	1
638	2	605	0.01
639	2	167	0.02
640	2	4	1
641	2	4	1
642	2	4	1
643	16	35	0.91
644	12	27	0.89
645	15	195	0.15
646	10	25	0.8
647	14	141	0.2
648	11	26	0.85
649	13	131	0.2
650	10	137	0.15
651	64	230	0.56
652	50	192	0.52
653	73	215	0.68
654	36	201	0.36
655	32	197	0.32
656	1	384	0.01
657	1	5	0.4
658	4	8	1
659	2	26	0.15
660	8	146	0.11
661	8	611	0.03
662	5	17	0.59
663	8	150	0.11
664	8	20	0.8
665	10	22	0.91
666	8	150	0.11
667	130	733	0.35
668	16	38	0.84
669	3	8	0.75
670	3	7	0.86
671	22	44	1
672	5	10	1
673	4	8	1
674	4	9	0.89
675	3	7	0.86
676	3	7	0.86
677	12	24	1
678	12	395	0.06
679	12	130	0.18
680	6	23	0.52
681	27	63	0.86
682	146	529	0.55
683	9	20	0.9
684	75	678	0.22
685	45	213	0.42
686	33	69	0.96
687	11	25	0.88
688	9	20	0.9
689	35	200	0.35
690	34	70	0.97
691	11	22	1
692	24	60	0.8
693	11	22	1
694	29	412	0.14
695	8	22	0.73
696	8	19	0.84
697	21	186	0.23
698	14	28	1
699	10	21	0.95
700	100	265	0.75
701	7	18	0.78
702	8	173	0.09
703	10	20	1
704	2	4	1
705	8	173	0.09
706	2	4	1
707	2	4	1
708	2	170	0.02
709	2	385	0.01
710	2	4	1
711	2	4	1
712	2	4	1
713	2	4	1
714	7	15	0.93
715	2	167	0.02
716	2	10	0.4
717	6	14	0.86
718	6	174	0.07
719	3	15	0.4
720	7	390	0.04
721	3	7	0.86
722	11	23	0.96
723	4	8	1
724	10	393	0.05
725	3	7	0.86
726	4	8	1
727	2	605	0.01
728	2	7	0.57
729	2	167	0.02
730	5	10	1
731	2	167	0.02
732	4	18	0.44
733	13	181	0.14
734	4	20	0.4
735	10	178	0.11
736	8	24	0.67
737	13	29	0.9
738	5	121	0.08
739	3	8	0.75
740	5	388	0.03
741	3	8	0.75
742	4	387	0.02
743	5	608	0.02
744	4	169	0.05
745	2	7	0.57
746	3	8	0.75
747	4	9	0.89
748	7	610	0.02
749	6	171	0.07
750	2	4	1
751	2	4	1
752	2	4	1
753	6	13	0.92
754	32	75	0.85
755	5	11	0.91
756	7	610	0.02
757	6	49	0.24
758	4	10	0.8
759	41	84	0.98
760	6	12	1
761	5	11	0.91
762	24	48	1
763	23	406	0.11
764	21	186	0.23
765	6	14	0.86
766	23	406	0.11
767	21	186	0.23
768	6	14	0.86
769	8	16	1
770	2	7	0.57
771	5	24	0.42
772	2	21	0.19
773	7	22	0.64
774	4	8	1
775	4	8	1
776	7	17	0.82
777	4	8	1
